Date,App_Name,Category,Minutes_Used
2026-08-13,Instagram,Social Media,85
2026-08-13,YouTube,Entertainment,70
2026-08-13,VS Code,Coding,140
2026-08-13,ChatGPT,Education,45
2026-08-13,WhatsApp,Communication,35
2026-08-14,Instagram,Social Media,110
2026-08-14,YouTube,Entertainment,95
2026-08-14,VS Code,Coding,120
2026-08-14,ChatGPT,Education,50
2026-08-14,WhatsApp,Communication,40
2026-08-15,Instagram,Social Media,75
2026-08-15,YouTube,Entertainment,80
2026-08-15,VS Code,Coding,180
2026-08-15,ChatGPT,Education,55
2026-08-15,WhatsApp,Communication,30
2026-08-16,Instagram,Social Media,125
2026-08-16,YouTube,Entertainment,105
2026-08-16,VS Code,Coding,100
2026-08-16,ChatGPT,Education,40
2026-08-16,WhatsApp,Communication,50
2026-08-17,Instagram,Social Media,65
2026-08-17,YouTube,Entertainment,60
2026-08-17,VS Code,Coding,210
2026-08-17,ChatGPT,Education,70
2026-08-17,WhatsApp,Communication,25
2026-08-18,Instagram,Social Media,140
2026-08-18,YouTube,Entertainment,120
2026-08-18,VS Code,Coding,90
2026-08-18,ChatGPT,Education,35
2026-08-18,WhatsApp,Communication,55
2026-08-19,Instagram,Social Media,100
2026-08-19,YouTube,Entertainment,90
2026-08-19,VS Code,Coding,150
2026-08-19,ChatGPT,Education,60
2026-08-19,WhatsApp,Communication,35
2026-08-20,Instagram,Social Media,80
2026-08-20,YouTube,Entertainment,75
2026-08-20,VS Code,Coding,190
2026-08-20,ChatGPT,Education,65
2026-08-20,WhatsApp,Communication,30
2026-08-21,Instagram,Social Media,130
2026-08-21,YouTube,Entertainment,100
2026-08-21,VS Code,Coding,110
2026-08-21,ChatGPT,Education,45
2026-08-21,WhatsApp,Communication,60
2026-08-22,Instagram,Social Media,95
2026-08-22,YouTube,Entertainment,85
2026-08-22,VS Code,Coding,175
2026-08-22,ChatGPT,Education,55
2026-08-22,WhatsApp,Communication,40
2026-08-23,Instagram,Social Media,150
2026-08-23,YouTube,Entertainment,115
2026-08-23,VS Code,Coding,80
2026-08-23,ChatGPT,Education,35
2026-08-23,WhatsApp,Communication,65
2026-08-24,Instagram,Social Media,90
2026-08-24,YouTube,Entertainment,70
2026-08-24,VS Code,Coding,200
2026-08-24,ChatGPT,Education,60
2026-08-24,WhatsApp,Communication,35
2026-08-25,Instagram,Social Media,120
2026-08-25,YouTube,Entertainment,100
2026-08-25,VS Code,Coding,130
2026-08-25,ChatGPT,Education,50
2026-08-25,WhatsApp,Communication,45
2026-08-26,Instagram,Social Media,135
2026-08-26,YouTube,Entertainment,110
2026-08-26,VS Code,Coding,160
2026-08-26,ChatGPT,Education,45
2026-08-26,WhatsApp,Communication,55
